For nLines = 100000 processing time was 1.03284692764
         2060528 function calls (2060440 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.575    0.575    1.123    1.123 problem2-2.py:1(<module>)
   174992    0.113    0.000    0.113    0.000 {_heapq.heappush}
    74992    0.095    0.000    0.095    0.000 {_heapq.heappop}
        1    0.003    0.003    0.090    0.090 __init__.py:106(<module>)
   100001    0.022    0.000    0.084    0.000 {next}
        3    0.010    0.003    0.064    0.021 __init__.py:1(<module>)
   100001    0.042    0.000    0.062    0.000 problem2-2.py:16(<genexpr>)
   450366    0.062    0.000    0.062    0.000 problem2-2.py:24(heapPeek)
750575/750553    0.055    0.000    0.055    0.000 {len}
        1    0.000    0.000    0.043    0.043 add_newdocs.py:10(<module>)
        1    0.002    0.002    0.031    0.031 __init__.py:15(<module>)
        1    0.000    0.000    0.026    0.026 type_check.py:3(<module>)
   100003    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
   100020    0.021    0.000    0.021    0.000 {method 'rstrip' of 'str' objects}
   100000    0.013    0.000    0.013    0.000 problem2-2.py:30(printMedian)
        1    0.001    0.001    0.012    0.012 __init__.py:7(<module>)
        1    0.002    0.002    0.010    0.010 __init__.py:45(<module>)
   101295    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.006    0.006    0.007    0.007 hermite.py:59(<module>)
        1    0.006    0.006    0.006    0.006 __init__.py:88(<module>)
      275    0.004    0.000    0.006    0.000 function_base.py:2940(add_newdoc)
        6    0.000    0.000    0.005    0.001 string.py:148(substitute)
        6    0.004    0.001    0.005    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.004    0.004    0.005    0.005 hermite_e.py:59(<module>)
        1    0.002    0.002    0.005    0.005 numeric.py:1(<module>)
        1    0.004    0.004    0.004    0.004 laguerre.py:59(<module>)
        1    0.003    0.003    0.004    0.004 polynomial.py:55(<module>)
        1    0.003    0.003    0.004    0.004 legendre.py:83(<module>)
        1    0.003    0.003    0.004    0.004 chebyshev.py:87(<module>)
       13    0.000    0.000    0.004    0.000 re.py:192(compile)
       13    0.000    0.000    0.003    0.000 re.py:230(_compile)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
       11    0.000    0.000    0.003    0.000 sre_compile.py:567(compile)
        1    0.001    0.001    0.003    0.003 __init__.py:38(<module>)
       81    0.003    0.000    0.003    0.000 {range}
        1    0.001    0.001    0.003    0.003 result.py:1(<module>)
        2    0.002    0.001    0.003    0.001 collections.py:293(namedtuple)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:51(<module>)
